"participant"	"item"	"context"	"rpitch"	"rintensity"	"rduration"	"prominence"	"trial"	"text"
"62"	"1175"	"10"	"New"	-126.502255092417	3.688	-0.857450231851222	"Noun"	5	"Ruth was promoted, her first task was to hire some staff for her office, which is difficult. Still, in the end she succeeded: She hired a nice assistant."
"63"	"1176"	"10"	"New"	-519.388952564575	-4.259	-0.810930216216329	"Noun"	26	"Ruth was promoted, her first task was to hire some staff for her office, which is difficult. Still, in the end she succeeded: She hired a nice assistant."
"64"	"1177"	"10"	"New"	97.6155494229145	-5.30799999999999	-0.780158557549575	"Noun"	27	"Ruth was promoted, her first task was to hire some staff for her office, which is difficult. Still, in the end she succeeded: She hired a nice assistant."
"65"	"1178"	"10"	"New"	NA	-2.887	-0.80755753173769	"Noun"	4	"Ruth was promoted, her first task was to hire some staff for her office, which is difficult. Still, in the end she succeeded: She hired a nice assistant."
"66"	"1179"	"10"	"New"	0	-0.078000000000003	-0.889857474806	"Noun"	20	"Ruth was promoted, her first task was to hire some staff for her office, which is difficult. Still, in the end she succeeded: She hired a nice assistant."
"67"	"1180"	"10"	"New"	NA	0.817	-0.658055860748675	"Noun"	33	"Ruth was promoted, her first task was to hire some staff for her office, which is difficult. Still, in the end she succeeded: She hired a nice assistant."
"68"	"207"	"10"	"New"	-94.0025191971871	-0.361999999999995	-0.587786664902119	"Noun"	18	"Ruth was promoted, her first task was to hire some staff for her office, which is difficult. Still, in the end she succeeded: She hired a nice assistant."
"69"	"264"	"10"	"New"	-498.639414264595	-4.146	-0.672944473242426	"Noun"	32	"Ruth was promoted, her first task was to hire some staff for her office, which is difficult. Still, in the end she succeeded: She hired a nice assistant."
"70"	"741"	"10"	"New"	1265.8058582964	0.778000000000006	-0.916290731874155	"Noun"	26	"Ruth was promoted, her first task was to hire some staff for her office, which is difficult. Still, in the end she succeeded: She hired a nice assistant."
"71"	"820"	"10"	"New"	545.579823849857	1.651	-0.857450231851222	"Adjective"	5	"Ruth was promoted, her first task was to hire some staff for her office, which is difficult. Still, in the end she succeeded: She hired a nice assistant."
"72"	"1004"	"10"	"NoAlternative"	NA	-1.084	-0.878550403891308	"Noun"	17	"Ruth was asked to hire a new assistant for her office. It seemed difficult. Still, in the end she succeeded: She hired a nice assistant."
